views,likes,dislikes,comment,category,adview
770809,582,227,69,D,3
35171,383,5,60,G,2
835520,7128,367,1194,E,5
215305,238,53,74,E,1
1107051,1421,134,47,D,6
881444,,,37,H,1
92,1,0,0,D,1
132515,442,49,146,D,22
2631,14,1,3,G,1
460207,826,94,24,D,8
66676,277,10,18,C,1
2551,0,0,2,B,2210
791067,7285,378,799,B,191
25886,88,5,6,D,1
366630,260,142,13,E,1
1138910,2919,817,628,D,1
1517387,4557,237,407,E,1
113411,195,24,34,G,9
49113,587,15,131,D,3
929267,349,104,24,E,4
161673,241,12,145,D,1
40771,481,13,59,A,1
95077,249,16,86,D,2
1188997,2323,244,1278,H,1
544614,9149,52,474,F,1
555270,971,61,162,A,2
127370,106,170,57,G,1
769740,1125,301,52,D,3
320097,401,87,26,E,1
1017837,47134,286,1785,B,471
259096,722,58,47,G,1
37708,112,3,5,D,1
2287062,2088,545,111,E,11
1245266,821,340,,D,22
578,0,1,0,D,1
3383658,20552,1347,4722,B,12
122309,485,24,44,A,1
165692,93,10,8,D,5
35552,103,12,17,D,1
210091,5475,222,642,F,4
80852,487,15,67,D,1
182838,1271,33,101,C,1
174770,47,29,2,D,1
61745,360,13,33,G,2
173389,190,14,21,D,9
213274,1456,117,161,D,4
6437,8,2,1,D,8
451634,4494,452,330,D,2
451701,736,113,54,D,8
6370,,,0,D,1
64627,111,5,7,B,16
994350,10883,269,1625,B,92782
73858,1397,16,117,D,913
475,4,1,0,E,1
201567,1820,33,58,D,1
7359,25,4,1,G,1
4918,4,1,0,D,1
2924037,15147,919,1118,D,12
1161919,685,230,59,D,2
78137,1440,38,300,G,1
4159,10,0,2,D,4
300603,936,117,836,E,1
2842181,7122,596,187,G,2
15242,31,17,2,G,1
115598,90,39,,D,1
72040,152,17,17,E,2
3502308,7062,716,219,D,7
51841,183,8,24,D,1
522447,14577,449,1243,A,1
21650,37,4,3,E,8
197430,482,29,31,B,11
522846,2606,28,632,G,18
6711,31,1,6,G,3
314985,1668,206,1099,B,2
231201,386,50,,B,11
201460,340,26,34,D,42
2739797,8869,284,875,G,2
658,3,1,1,E,1
10911,35,6,3,G,4
111503,,,19,H,1
1227231,7101,4607,1901,D,2
1663486,3908,532,235,H,8
646333,1418,92,38,D,2
220033,1025,189,575,B,1
511438,5855,529,314,D,4
243009,821,7,85,G,1
433724,701,45,10,D,1
399467,1048,180,145,D,1
72049,1859,31,671,A,1
261614,121,78,19,D,6
35862,50,2,2,D,2
1114667,525,305,23,D,4
560652,1016,196,95,D,14
4417750,21212,6067,1527,G,16
80668,631,25,76,C,2
4852,43,0,33,E,1
171448,149,4,44,D,1687
632,4,0,0,D,7
1341876,2191,105,206,G,10
6650767,61792,740,4780,B,4
46944,152,27,23,G,1
16230,749,40,195,D,3
43861,231,5,25,C,6
425953,6513,206,1312,F,5
209081,124,39,6,D,1
3787,132,9,45,B,1
715738,4569,138,556,B,1
1041,2,1,1,D,1
1185443,13544,3457,3561,D,11
787026,1873,308,171,G,25
491738,817,115,76,D,1
87604,125,11,5,D,3
143266,320,21,66,A,25
2718145,31101,645,5071,B,17
73427,1806,7,336,E,1
30259,454,32,274,D,2
39803,220,5,8,G,2
142533,452,19,27,D,7
223879,254,25,15,D,4
35810,673,5,38,F,2
1895040,6084,644,172,D,5
656479,4473,502,865,B,1
359093,1431,48,268,A,1
312793,1470,83,572,E,1
4419311,3204,1322,185,H,5
19212,104,4,8,B,1
1381,32,2,3,G,2
138050,443,63,39,G,8
80088,105,5,29,D,1
99819,43,13,5,D,3
627292,2329,230,229,E,7
4139,65,0,26,D,2929
899472,7864,122,1337,E,14
217276,503,88,121,H,1
3949469,25566,1358,4255,G,16
8846,137,3,7,C,1
563,4,0,4,G,1
303874,135,43,9,G,19
283387,224,27,3,E,3
51384,132,6,12,B,11
2462561,1771,664,90,C,8
15930,7,4,0,E,1
3096,69,1,5,D,1
21341,422,6,86,G,1
371314,2765,198,660,D,3
14161,181,2,6,D,1
42318,113,6,10,D,1
38210,43,5,0,D,1
1430600,13867,347,741,D,4
64466,161,13,23,E,1
63015,363,15,42,E,3
455101,2260,77,451,A,1
129869,787,49,12,G,1
43032,79,3,48,A,1
1020381,3007,769,2672,D,7
8682,26,2,2,F,1
2708891,127170,2398,852,D,2
52198,175,9,4,D,1
45163,249,557,901,D,1
23062,83,6,5,C,1
4033136,14200,307,1390,G,19
966367,2077,422,644,H,2
55288,33,1,0,E,35043
438785,1318,146,46,D,2
1131602,2170,265,516,D,9
950944,5214,925,7084,D,6
54590,67,14,11,E,2620
1136517,1439,176,201,E,1
7315,28,6,3,E,5408
812825,2793,154,319,D,1
45518,142,17,18,D,1
697859,2924,241,180,F,1
96884,29,16,1,D,1
379724,385,147,18,H,2
45331,136,6,16,C,5
5772,76,0,10,G,2408
114537,472,39,118,H,1
107491,676,8,37,B,8
1039,6,0,4,C,1
272078,530,30,26,D,2
726,10,0,0,D,2
616379,3164,49,651,G,26
109068,132,18,20,F,9
1734941,9246,850,541,D,26
566940,548,130,77,D,1
908536,753,234,104,D,1
726331,587,50,213,B,1
3482,41,0,7,D,2787
1016669,14249,78,881,G,1
174656,988,116,446,D,2
271123,660,75,330,D,167
251876,324,45,28,D,66
855,0,2,1,D,1
852691,1525,242,243,G,5
51411,354,30,119,F,2
5453525,4143,1860,552,D,224
7247213,65467,1766,4562,D,138
262109,3056,95,159,B,1
7264,24,0,5,G,1
177414,114,28,2,C,1
115393,459,17,12,C,2
191786,112,24,3,D,4
279282,657,46,56,D,71
180404,53,44,1,H,1
1916,6,0,1,E,1
5075,26,2,1,G,2877
246120,379,38,0,D,2
356,1,0,0,D,1
336595,815,52,33,D,1
11294,83,4,8,G,1087
846245,4090,148,876,D,1
1611655,5812,348,651,B,1
76430,74,20,6,D,2
658019,4778,396,313,E,1
29417,80,5,178,E,3
34962,1241,6,95,D,1
427297,854,61,73,D,16
466663,749,46,117,D,1
252108,208,94,5,D,2
222739,2425,137,2076,D,6
539381,1682,214,232,G,20
57014,181,5,7,D,1
412791,471,89,11,D,2
93132,146,12,10,D,1
139842,1662,53,265,F,5684
393228,2040,112,70,D,1
1737011,1003,276,43,G,11
332533,515,47,99,E,1
105699,198,14,20,D,2
15014236,18520,3770,1794,D,31
96697,1623,18,44,G,2
116320,1114,60,100,E,1
461810,449,73,13,D,9
29392,26,3,0,G,1
493046,120,91,11,D,4
2544057,20707,1663,9253,F,2
779007,2804,235,178,D,3
1079692,11261,451,975,D,1
276336,5635,51,740,B,8
197169,238,46,46,A,5
85982,1231,157,333,D,1
347821,3127,98,475,B,10
292291,390,78,19,D,1
3982304,18428,411,5411,E,186
880625,1500,167,47,D,6
46609,84,11,1,H,1
36605,667,35,102,F,2
656624,853,416,94,E,3
18144,31,4,3,E,1
54418,401,21,26,G,1
149,1,0,0,D,1
23354,28,4,0,D,1
983777,1091,509,162,D,1
295391,384,65,41,D,3
52504,32,5,0,D,1
885,0,0,0,E,1
535,8,0,1,G,1
153218,46,39,0,E,3
59598,125,7,5,G,48
1929022,21541,2238,,F,4
270802,1027,111,112,D,1
989705,13734,993,1447,E,3
7422,49,5,4,E,1
77147,348,87,189,C,1
49658,20,7,1,D,1
269256,366,66,11,D,2
65006,642,20,24,D,1
60898,161,8,9,D,1
7274,29,7,10,D,1
12346,17,1,0,D,4642
675863,3208,439,1210,F,1
874,2,2,0,D,1
268833,491,28,60,D,23
5377,13,3,2,F,2
514763,1011,100,119,B,1
299429,567,75,74,D,11
3464,5,1,0,D,2
134606,182,18,13,D,1
133875,1029,23,164,D,2
697712,13022,246,1251,H,5
177977,269,57,24,D,3
43365,80,6,15,E,4
33976,34,19,0,G,1
158,20,1,32,F,1
867685,263,252,24,D,1
37811,549,7,21,E,2
250701,1097,212,458,D,1
2397044,58311,6017,6144,F,2
611242,1575,185,160,H,1
53465,47,11,6,A,6
303980,1273,69,162,D,1
34267,70,2,5,D,1
17792,114,3,25,A,1
205268,197,7,5,D,1
6144,18,2,2,D,1
763778,594,177,114,D,1
1434549,2886,690,255,D,26
11167,6,0,1,D,1
1046440,1121,534,39,G,2
2190,7,2,0,D,722
471095,2446,113,1180,E,2
1242,3,0,0,D,963
183472,588,22,32,D,8
863852,1605,216,148,E,1
156211,454,15,32,D,13
145843,137,46,6,C,4
1119574,4226,219,338,D,3
203019,7859,159,197,D,1
253295,1473,263,,D,1
22265,155,6,12,E,1
1468281,1953,885,,D,18
900469,1324,96,95,G,2
7755,29,22,16,D,1
8069,23,2,1,C,5
3509,0,0,0,D,1
325065,617,80,28,D,1
32205,20,4,4,D,1
260949,510,137,22,E,1
295599,1054,36,90,D,11
4354,10,0,1,D,11
731282,2630,328,149,H,2
35832,67,10,1,G,1
690121,720,128,21,H,2
846929,649,310,56,D,9
705638,1541,166,127,D,1
845320,4396,219,202,D,1
2899,17,0,1,D,2
165294,1057,114,210,F,3
70830,165,7,6,G,3
22353,23,9,1,C,2
589852,709,77,108,H,1
498909,1404,102,50,D,5
1418331,4156,265,216,E,5
1224550,600,195,56,G,19
715951,2947,106,123,G,1
4746,12,3,0,D,1
6918395,39430,1743,3940,D,35
43500,407,24,93,G,1
13134,32,0,1,D,1
186889,375,14,10,D,1
320,1,0,0,D,1
110823,349,50,18,D,3
7200,135,11,39,B,3
51534,66,8,5,D,1
688600,2492,579,1781,D,6
7520,463,4,38,B,1
9029,27,2,0,A,5682
223,1,0,0,D,1
163066,828,111,57,G,1
274,8,0,4,D,5
38580,52,8,1,D,32248
1764825,10506,336,1145,D,8
98702,260,14,23,D,1
74087,562,35,31,C,3
28484,41,21,32,C,1
191275,373,19,4,D,1
307992,246,54,19,D,3
973378,1228,351,135,D,1622
2828832,43270,3379,3158,F,1
196595,504,34,13,G,2
1322913,11917,423,1536,F,33
238667,4669,83,3185,B,27
1356695,2299,275,106,D,40
155267,4882,30,345,C,1
145761,468,134,464,D,1
698,14,0,0,D,1
109851,746,69,587,B,1
109244,1202,21,221,E,1
208880,681,23,16,D,1
51207,22,2,9,D,1
11866,43,3,5,H,1
766532,2598,345,152,E,3
1734324,4639,362,230,E,1
194432,8829,96,655,D,1
154563,941,29,37,D,1
594050,3945,454,2885,D,1
217427,230,78,28,D,9
3939971,10556,1053,1194,C,6
382394,128,112,5,D,6
523776,5714,520,1873,F,1
7886,140,2,23,F,3
2296789,928,567,33,D,6
28872,70,4,9,D,2
55247,348,11,9,C,1
18066,261,4,28,F,1
1113120,4142,368,441,C,1
118439,858,38,59,E,38
984243,1184,205,57,D,1
35003,293,17,23,F,11
897135,4835,473,689,D,1
62560,8295,54,4917,D,1
3908,21,0,5,D,1
87301,721,23,173,A,2
83361,145,34,15,G,7
356617,4799,78,886,B,4336
448323,1796,107,116,G,3
471104,3233,69,174,G,2
2276106,,,2,D,1
129112,477,21,15,H,1
31034,624,7,201,E,1
37658,15,3,3,A,1
486310,1581,106,203,C,1
2234219,5156,661,1463,H,10
17645,57,6,3,D,11169
1589,2,5,5,D,524
3266806,1279,718,170,D,915
521502,1396,173,37,G,1
222781,522,32,24,D,324
101835,658,10,34,B,1
170319,137,53,21,D,2
466,3,0,0,D,1
117138,113,28,6,E,1
193686,1020,22,13,C,1
99232,1126,26,178,D,12
121255,69,39,,D,2
1046,3,1,0,D,1
49694,76,22,6,D,1
100111,272,11,19,D,2
6823,24,1,3,D,1
469954,10035,313,8673,D,1
459371,2721,45,86,C,2
1192302,805,239,272,E,4
85922,336,12,182,D,6
22960,59,2,5,D,3
977617,13677,933,1021,H,2
29615,23,8,4,D,1
16019,506,17,348,D,1
93782,236,32,461,D,1
2795,12,1,1,D,1
33377,80,6,10,D,1
198886,303,78,25,D,3
726395,906,64,16,D,3
21506,47,9,6,D,1
21589,118,1,2,D,1
958508,3184,205,736,G,6
733363,5737,173,304,G,3
988463,747,348,174,D,1
3007988,,,168,D,2
642393,896,85,26,D,104
1001362,22189,718,10139,D,17
3742456,19460,704,1927,G,22
889947,970,240,138,G,12
353475,983,41,36,B,20
1149811,1352,572,155,D,3
360555,1113,50,17,H,1
5967838,2975,1261,126,D,170
3071508,26548,423,2809,B,1
1931585,1368,453,161,D,3
35148,,,4,D,1
670576,6009,422,1231,F,48
158634,1093,29,95,D,2
1825123,720,282,75,E,1
360501,700,42,38,D,35
194042,661,62,189,D,1
2343661,18499,1086,2898,F,90
286,4,0,0,F,2
318993,7215,49,200,C,1
6020,32,3,15,G,1
1335905,1410,174,50,D,3
8704,46,2,1,B,3
99961,374,26,15,E,1
143984,121,30,12,D,2
269830,1819,80,112,E,1
2012135,11843,1971,4637,C,7
69345,56,18,1,C,1
493805,890,123,139,D,2
2671,5,0,0,G,2279
6818,19,0,1,D,1
1711,4,0,0,E,7
203,0,0,0,D,2
463,12,0,1,D,1
110048,182,11,12,D,14
2299,1,1,0,D,1
504577,3956,129,1483,G,3
109506,108,12,25,G,1
149868,32,51,0,E,1
1618584,18302,366,3281,B,250
816,6,0,2,G,107
57421,88,8,14,E,2
1974,28,1,4,D,2
3839,60,0,2,F,3
860,11,0,10,D,2
9558,20,6,0,D,2
474358,2781,525,1812,D,3
132946,1042,23,139,G,1
1434301,8837,1011,895,G,2
6234,31,3,1,H,1
111523,535,39,44,D,3
945770,3040,194,142,D,18
818181,7827,203,1088,F,1
612203,5152,458,1339,B,12
30900,358,9,8,G,3
438441,333,134,102,D,18
6083650,18903,2956,1544,D,28
3603150,17626,1083,336,G,1
72836,202,10,3,C,1
17221,57,5,10,G,1
2520823,4855,3180,288,E,4
229101,250,80,24,E,2
2431,11,1,0,D,1
224975,1743,392,190,G,1531
953068,458,142,111,H,7
658257,556,124,53,D,2
114396,547,119,66,D,5
146866,131,19,1,D,1
38042,33,16,0,D,1
76417,151,16,18,G,1
1083804,1292,320,59,D,41
239,0,0,0,H,1
167475,122,25,28,H,1
669,0,0,0,D,1
914,7,0,0,D,1
2146751,2499,460,196,G,3
211679,1342,47,221,F,1
662452,5557,73,236,G,2
4711588,25274,3654,1962,D,1
121,3,0,0,D,2
1224966,1672,148,53,D,35
224589,130,24,12,D,3
147827,57,14,5,D,9
176443,1588,25,102,D,1
59812,327,12,142,D,3
794566,1848,302,147,D,4
182616,292,10,6,D,2
30579,644,5,66,G,1
4837,5,3,1,G,4329
2333,8,1,1,G,3
874141,1659,212,241,D,1
1746080,3448,85,528,G,1
53907,32,27,11,E,1
851767,267,119,11,D,35
138971,551,51,47,G,2
58196,127,7,7,G,1
2392130,26895,431,2832,B,10
74549,33,3,31,D,1
3031333,9357,266,515,G,8
140148,494,23,88,C,23
275262,1149,18,277,G,22
76683,698,56,50,D,1
18007,92,5,10,B,1
49248,322,1,7,C,2
56402,597,20,40,F,100
1914510,2801,498,318,D,23
810060,2597,124,163,D,4909
9009,41,4,9,D,1
279565,2079,28,59,E,1
395461,358,48,35,D,3
10544,202,5,43,F,3
30835,209,5,15,D,1
22053,243,12,46,D,30
1326548,2736,124,205,B,1
266514,1709,254,965,D,11
226147,741,27,33,D,1
19901,559,8,22,D,1
2202,1,1,0,E,1
35387,483,47,444,D,1
253920,670,40,79,A,1
171764,2611,156,51,D,2
160562,1885,14,235,F,2
1639581,19691,3317,5627,D,4
6584151,2040,1516,90,D,24
1182272,10431,535,346,D,5
2740,15,2,1,E,4
23529,84,2,24,D,1
9963,65,2,4,B,1
1289482,4051,634,260,H,2
102180,221,15,15,D,1
43808,59,10,21,E,1
289122,734,114,22,D,2
144352,170,8,16,E,1
2238459,15128,278,396,G,12
3025248,7663,545,929,E,4
1009854,260,199,40,H,3
1186729,1152,295,96,D,1
960475,621,391,73,D,5
361880,7123,469,3277,D,1
99841,1270,11,99,E,27
397,0,0,1,D,4
750238,6013,600,517,B,13
493176,626,78,21,C,7
6500,71,27,12,G,2
12250,,,,D,1
2850562,8733,1319,395,E,2
97133,,,11,H,2
455881,2975,35,95,E,1
2456930,21748,1393,5595,D,4
67541,691,19,66,D,2
4662,4,0,0,D,3
49444,9,0,6,D,1
2276,3,0,0,G,3
626951,6963,122,251,B,4
525905,530,346,,H,4
2042,6,0,2,D,23
161036,187,23,12,H,1
115831,836,30,53,C,1
33349,72,8,2,F,2
407068,1648,48,92,G,1
1174320,3243,215,140,D,6
456578,1587,253,4777,D,1
104197,74,16,1,E,8
139620,452,13,105,G,14
265367,755,66,97,D,12
289507,972,77,56,G,1
1169774,5269,228,244,G,1
3462,35,1,,C,1
924783,4636,627,2125,F,1
354295,248,149,7,E,1
28750,49,3,4,E,1
75114,68,5,7,E,1
1012490,5080,175,1307,D,4
8060603,24124,2897,2733,G,37
151696,1674,13,222,F,1
233652,2441,46,231,F,2
146228,448,27,91,G,1
56642,92,5,21,E,4
14223,498,15,10,G,1
694410,758,74,83,G,5
516191,5755,186,1366,D,2
346730,833,87,57,G,1
106010,304,41,,B,4
662499,294,190,31,D,2
787155,509,159,162,G,1
166285,794,26,97,A,1
152,1,0,1,D,1
2171205,7006,275,904,G,13
1224,3,0,0,D,7
747691,4506,138,137,E,5
665167,2909,142,171,D,2
452892,1906,304,772,F,2
5116708,29012,453,2454,D,4
358725,539,185,153,H,4
629525,607,315,155,D,14
235551,567,31,13,D,5
2574107,5209,385,116,D,233
2838,38,0,1,F,28
701744,1248,209,130,D,2
161926,1915,54,313,E,1
16565,31,6,1,C,1445
42375,294,22,32,D,25
350294,1122,209,222,D,1
4279629,15893,435,1158,G,17
128570,68,37,13,D,1
196706,1182,75,180,D,1
146407,313,15,13,E,1
5865,10,1,2,G,1
830303,1200,199,332,H,1
113852,190,37,12,D,1
864956,2648,318,347,G,87
527446,1656,173,134,G,6
446502,544,54,23,D,4
1335,13,2,0,D,1
1723687,1593,257,122,G,326
345929,2609,83,234,G,9478
4046966,7784,1534,521,C,54
47196,242,9,21,G,1
1634479,3063,557,270,D,16
111885,2680,36,1317,F,2
146244,594,38,19,D,1
83537,185,20,9,D,1
20404,32,12,0,E,6
1436705,384,224,17,D,17
2294,11,0,0,E,1
3909300,18481,421,1507,B,4
6074,17,3,0,D,827
120914,570,17,10,D,4
41388,236,11,28,G,1
1880978,1100,175,29,D,8
34282,116,10,6,G,2
9185,39,0,3,G,1
551333,6824,498,18025,B,24
68492,667,40,143,B,4
470233,2736,118,371,E,1
2591155,5793,3171,794,G,27
35812,64,1,1,D,1
59783,84,8,5,E,1
1161821,2638,540,208,D,1
186971,363,37,14,D,2
15372,46,7,40,D,1
15585,174,12,17,G,1
1199250,4609,266,227,D,4
329044,465,106,29,E,2
144041,319,10,11,G,1
7526602,62608,3046,2395,D,5
124621,879,25,27,C,2
133942,418,44,29,H,3
6598,9,0,0,G,1
185743,2535,114,639,B,1
11739,57,2,3,D,1
130380,900,33,443,G,1
66139,218,20,14,F,1
55332157,139259,11843,5511,G,60
731822,1069,235,90,D,10
91926,1537,55,131,G,5174
312294,904,69,283,A,3
1645986,24054,489,4995,B,8
12089,19,5,4,E,2
568613,920,92,79,D,11
63209,,,1,D,52565
212770,1772,107,1606,E,2
403130,660,135,33,D,2
1361366,1384,757,185,G,2
2419479,1831,499,68,B,2
1072196,3070,137,336,D,5
64310773,20397,10258,23,H,93
155844,813,22,142,D,2
8626,23,0,0,D,6775
2059,34,1,5,G,1
63893,420,18,182,D,2
21098,211,15,51,D,1
766657,651,257,98,D,17
6138,35,1,4,C,2
128740,154,7,21,D,4
277606,1725,101,117,G,1
26848,200,2,91,D,2
289432,1376,60,90,D,1
1164965,1166,274,100,D,3
35441,22,9,2,D,1
1266723,1865,345,238,D,54
111543,16,53,0,D,2
220464,961,69,185,D,4
1018682,8718,265,938,D,6
195844,643,22,27,G,1
1387094,10663,260,1859,B,1
6064002,62476,2277,2217,D,2
74778,47,9,1,D,1
414091,1248,749,25,E,1
209764,296,44,31,D,2
12585,126,3,7,B,1
416,4,0,5,D,335
591647,563,232,252,D,3
449299,1020,98,23,D,4
212438,298,73,62,D,1
69201,172,26,60,D,7
681582,1364,111,65,D,1
12152,14,7,3,D,8114
11151,101,2,17,D,1
378605,431,59,160,D,1
8237,481,0,107,G,1
3911,109,7,17,F,1574
444207,342,129,37,E,8
49214,36,5,0,D,19
32947,42,38,2,G,1
109290,461,8,9,E,1
528926,853,94,16,D,10
3368,37,4,7,F,4
821015,6235,354,122,D,1
606200,1445,274,132,D,3
2949850,1673,1220,335,D,7
1063341,3093,203,84,D,5
954453,8005,340,2894,H,3
101947,472,12,62,B,10
1364461,15354,157,1672,B,1
652434,2142,52,304,D,3
63384,102,19,9,E,1
3742945,2466,1058,622,G,18
173721,84,37,5,D,1
420562,1593,104,139,D,4
400201,9157,223,1217,F,1
20003,234,11,62,F,1
689517,3236,94,266,B,4
2122534,5281,604,2788,F,6
24366,789,13,85,D,1
67136,126,20,11,D,1
596406,3052,348,1305,F,4
3130224,17538,1011,263,D,1
245897,715,52,48,D,2
572640,798,111,354,D,2
1024850,1148,39,53,G,92
8075,26,5,6,D,2
6141689,23944,1220,1809,E,10
591345,2259,357,1273,B,11
514971,1640,171,86,F,73
693312,207,166,15,D,4
788877,2724,153,1169,D,1
63473,106,20,9,D,2
11504,13,2,1,D,9503
22970,409,7,93,D,1
98795,407,19,22,D,1
804,1,1,0,G,1
123458,47,27,2,D,3
862305,8717,317,2805,E,2
336860,1332,117,275,D,1
4426961,177473,3315,31165,D,7
224613,328,58,18,D,2
84,1,0,0,C,5
130094,99,53,3,F,9
500385,6297,559,1261,B,10
49456,1966,34,373,E,1
1438508,9149,387,644,G,12
153940,446,27,35,E,349
350569,2227,49,320,A,1
380136,783,110,132,H,5
2074978,3432,619,291,E,6
345753,3729,105,1016,D,87335
343081,2355,82,2472,E,4
1132854,2333,436,158,G,1
293873,355,125,49,D,1
363764,335,41,9,D,9
125046,537,69,931,C,1
21380,44,5,0,G,2
2972,42,2,3,D,51
88863,623,14,17,C,1
130947,226,80,7,D,1
1123108,6711,432,353,D,86
161543,3721,146,1758,D,2
39615,167,9,9,C,9
293167,4380,227,624,D,2
30481,330,23,20,D,1
210711,1845,93,448,E,1
80616,187,15,42,D,1
1296161,1068,285,85,D,4
1826554,1884,847,94,D,4
783333,2103,254,153,D,1
432679,2227,80,53,G,1
191,5,0,0,D,5
77188,246,34,41,G,4
1218778,14773,693,4324,F,11
89540,78,21,2,D,1
664121,379,67,55,D,90
1419140,22989,260,18112,B,4
81545,639,43,1034,D,1
562978,7223,184,700,G,2
4636,7,0,0,E,1
189779,592,59,14,F,4
650417,611,244,74,D,2
22386,205,8,87,C,1
35424,31,62,,C,27650
2058731,3755,558,455,G,3
18232,9,0,0,D,1
46662,85,32,12,E,1
360652,412,210,59,E,1
3868,27,2,2,C,1
121131,541,21,150,D,355
27587,75,16,2,C,1
38122,69,3,9,E,4
884960,15476,308,5341,D,6
85228,466,5,4,D,18304
702387,12383,149,1878,B,117
12119,8,2,0,C,2
4528,19,0,3,D,2
